Invoice Date,Invoice Quantity,Sales Zone,Sales Location
6/8/2024,5,North,JPR
6/8/2024,10,North,JPR
6/8/2024,3,North,JPR
6/8/2024,10,North,JPR
6/8/2024,10,North,JPR
6/8/2024,5,North,JPR
6/8/2024,2,North,JPR
6/8/2024,3,North,JPR
6/8/2024,3,North,JPR
6/8/2024,2,North,JPR
6/8/2024,10,North,JPR
6/8/2024,3,North,JPR
6/8/2024,3,North,JPR
6/8/2024,15,North,GZB
6/8/2024,5,North,JPR
6/8/2024,3,North,JPR
6/8/2024,10,North,JPR
6/8/2024,4,North,JPR
6/8/2024,200,North,JPR
6/8/2024,5,North,JPR
6/8/2024,150,North,LKW
6/8/2024,15,North,GZB
6/8/2024,200,West,BHP
6/8/2024,5,North,JPR
6/8/2024,15,North,JPR
6/8/2024,10,North,JPR
6/8/2024,10,North,JPR
6/8/2024,120,North,JMU
6/8/2024,80,North,JMU
6/8/2024,15,North,JPR
6/8/2024,10,North,JPR
6/8/2024,3,North,JPR
6/9/2024,150,East,PTA
6/9/2024,200,North,JPR
6/9/2024,120,North,JMU
6/9/2024,80,North,JMU
6/9/2024,20,North,GRN
6/9/2024,20,North,GRN
6/9/2024,20,North,GRN
6/9/2024,20,North,GRN
6/9/2024,20,North,GRN
6/9/2024,15,North,GRN
6/9/2024,10,North,GRN
6/10/2024,5,North,JPR
6/10/2024,5,North,JPR
6/10/2024,10,North,DLI
6/10/2024,120,North,JMU
6/10/2024,80,North,JMU
6/10/2024,10,North,DLI
6/10/2024,2,North,DLI
6/10/2024,100,North,GRN
6/10/2024,100,North,GRN
6/10/2024,120,North,JMU
6/10/2024,80,North,JMU
6/10/2024,150,North,LKW
6/10/2024,120,North,GRN
6/10/2024,80,North,GRN
6/10/2024,5,North,DLI
6/10/2024,5,West,PNE
6/10/2024,20,North,GRN
6/10/2024,25,North,GRN
6/10/2024,5,North,JPR
6/10/2024,10,North,JPR
6/10/2024,3,North,DLI
6/10/2024,12,North,DLI
6/10/2024,10,North,GRN
6/10/2024,3,North,JPR
6/10/2024,3,North,JPR
6/10/2024,200,North,GZB
6/10/2024,20,North,GZB
6/10/2024,5,North,GZB
6/11/2024,83,South,HBI
6/11/2024,12,North,GZB
6/11/2024,20,North,GZB
6/11/2024,20,North,GZB
6/11/2024,5,North,GZB
6/11/2024,20,North,GZB
6/11/2024,5,North,GZB
6/11/2024,30,North,GRN
6/11/2024,20,East,DGP
6/11/2024,20,East,DGP
6/11/2024,10,East,DGP
6/12/2024,2,North,GZB
6/12/2024,10,East,DGP
6/12/2024,25,North,GRN
6/12/2024,25,North,GRN
6/13/2024,150,North,JPR
6/13/2024,200,North,DLI
6/13/2024,1,East,DGP
6/13/2024,200,North,DLI
6/13/2024,120,North,GRN
6/13/2024,80,North,GRN
6/13/2024,150,North,JMU
6/13/2024,200,North,JPR
6/13/2024,10,North,GRN
6/13/2024,10,North,GRN
